Volatility 3 Framework 2.26.2

PID	Process	Block	Variable	Value
372	wininit.exe	0x1c0cc0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
372	wininit.exe	0x1c0cc0	PUBLIC	C:\Users\Public
372	wininit.exe	0x1c0cc0	SystemDrive	C:
372	wininit.exe	0x1c0cc0	SystemRoot	C:\Windows
372	wininit.exe	0x1c0cc0	TEMP	C:\Windows\TEMP
372	wininit.exe	0x1c0cc0	TMP	C:\Windows\TEMP
372	wininit.exe	0x1c0cc0	USERNAME	SYSTEM
372	wininit.exe	0x1c0cc0	USERPROFILE	C:\Windows\system32\config\systemprofile
372	wininit.exe	0x1c0cc0	windir	C:\Windows
460	services.exe	0x1a0e98	ALLUSERSPROFILE	C:\ProgramData
460	services.exe	0x1a0e98	CommonProgramFiles	C:\Program Files\Common Files
460	services.exe	0x1a0e98	COMPUTERNAME	FLAG-PC
460	services.exe	0x1a0e98	ComSpec	C:\Windows\system32\cmd.exe
460	services.exe	0x1a0e98	FP_NO_HOST_CHECK	NO
460	services.exe	0x1a0e98	NUMBER_OF_PROCESSORS	1
460	services.exe	0x1a0e98	OS	Windows_NT
460	services.exe	0x1a0e98	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
460	services.exe	0x1a0e98	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
460	services.exe	0x1a0e98	PROCESSOR_ARCHITECTURE	x86
460	services.exe	0x1a0e98	PROCESSOR_IDENTIFIER	x86 Family 6 Model 58 Stepping 9, GenuineIntel
460	services.exe	0x1a0e98	PROCESSOR_LEVEL	6
460	services.exe	0x1a0e98	PROCESSOR_REVISION	3a09
460	services.exe	0x1a0e98	ProgramData	C:\ProgramData
460	services.exe	0x1a0e98	ProgramFiles	C:\Program Files
460	services.exe	0x1a0e98	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
460	services.exe	0x1a0e98	PUBLIC	C:\Users\Public
460	services.exe	0x1a0e98	SystemDrive	C:
460	services.exe	0x1a0e98	SystemRoot	C:\Windows
460	services.exe	0x1a0e98	TEMP	C:\Windows\TEMP
460	services.exe	0x1a0e98	TMP	C:\Windows\TEMP
460	services.exe	0x1a0e98	USERNAME	SYSTEM
460	services.exe	0x1a0e98	USERPROFILE	C:\Windows\system32\config\systemprofile
460	services.exe	0x1a0e98	windir	C:\Windows
468	lsass.exe	0x1b0e98	ALLUSERSPROFILE	C:\ProgramData
468	lsass.exe	0x1b0e98	CommonProgramFiles	C:\Program Files\Common Files
468	lsass.exe	0x1b0e98	COMPUTERNAME	FLAG-PC
468	lsass.exe	0x1b0e98	ComSpec	C:\Windows\system32\cmd.exe
468	lsass.exe	0x1b0e98	FP_NO_HOST_CHECK	NO
468	lsass.exe	0x1b0e98	NUMBER_OF_PROCESSORS	1
468	lsass.exe	0x1b0e98	OS	Windows_NT
468	lsass.exe	0x1b0e98	Path	C:\Windows\System32
468	lsass.exe	0x1b0e98	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
468	lsass.exe	0x1b0e98	PROCESSOR_ARCHITECTURE	x86
468	lsass.exe	0x1b0e98	PROCESSOR_IDENTIFIER	x86 Family 6 Model 58 Stepping 9, GenuineIntel
468	lsass.exe	0x1b0e98	PROCESSOR_LEVEL	6
468	lsass.exe	0x1b0e98	PROCESSOR_REVISION	3a09
468	lsass.exe	0x1b0e98	ProgramData	C:\ProgramData
468	lsass.exe	0x1b0e98	ProgramFiles	C:\Program Files
468	lsass.exe	0x1b0e98	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
468	lsass.exe	0x1b0e98	PUBLIC	C:\Users\Public
468	lsass.exe	0x1b0e98	SystemDrive	C:
468	lsass.exe	0x1b0e98	SystemRoot	C:\Windows
468	lsass.exe	0x1b0e98	TEMP	C:\Windows\TEMP
468	lsass.exe	0x1b0e98	TMP	C:\Windows\TEMP
468	lsass.exe	0x1b0e98	USERNAME	SYSTEM
468	lsass.exe	0x1b0e98	USERPROFILE	C:\Windows\system32\config\systemprofile
468	lsass.exe	0x1b0e98	windir	C:\Windows
468	lsass.exe	0x1b0e98	USERPROFILE	C:\Windows\system32\config\systemprofile
468	lsass.exe	0x1b0e98	windir	C:\Windows
476	lsm.exe	0x1d0e98	ALLUSERSPROFILE	C:\ProgramData
476	lsm.exe	0x1d0e98	CommonProgramFiles	C:\Program Files\Common Files
476	lsm.exe	0x1d0e98	COMPUTERNAME	FLAG-PC
476	lsm.exe	0x1d0e98	ComSpec	C:\Windows\system32\cmd.exe
476	lsm.exe	0x1d0e98	FP_NO_HOST_CHECK	NO
476	lsm.exe	0x1d0e98	NUMBER_OF_PROCESSORS	1
476	lsm.exe	0x1d0e98	OS	Windows_NT
476	lsm.exe	0x1d0e98	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
476	lsm.exe	0x1d0e98	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
476	lsm.exe	0x1d0e98	PROCESSOR_ARCHITECTURE	x86
476	lsm.exe	0x1d0e98	PROCESSOR_IDENTIFIER	x86 Family 6 Model 58 Stepping 9, GenuineIntel
476	lsm.exe	0x1d0e98	PROCESSOR_LEVEL	6
476	lsm.exe	0x1d0e98	PROCESSOR_REVISION	3a09
476	lsm.exe	0x1d0e98	ProgramData	C:\ProgramData
476	lsm.exe	0x1d0e98	ProgramFiles	C:\Program Files
476	lsm.exe	0x1d0e98	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
476	lsm.exe	0x1d0e98	PUBLIC	C:\Users\Public
476	lsm.exe	0x1d0e98	SystemDrive	C:
476	lsm.exe	0x1d0e98	SystemRoot	C:\Windows
476	lsm.exe	0x1d0e98	TEMP	C:\Windows\TEMP
476	lsm.exe	0x1d0e98	TMP	C:\Windows\TEMP
476	lsm.exe	0x1d0e98	USERNAME	SYSTEM
476	lsm.exe	0x1d0e98	USERPROFILE	C:\Windows\system32\config\systemprofile
476	lsm.exe	0x1d0e98	windir	C:\Windows
572	svchost.exe	0x3d0fd0	ALLUSERSPROFILE	C:\ProgramData
572	svchost.exe	0x3d0fd0	APPDATA	C:\Windows\system32\config\systemprofile\AppData\Roaming
572	svchost.exe	0x3d0fd0	CommonProgramFiles	C:\Program Files\Common Files
572	svchost.exe	0x3d0fd0	COMPUTERNAME	FLAG-PC
572	svchost.exe	0x3d0fd0	ComSpec	C:\Windows\system32\cmd.exe
572	svchost.exe	0x3d0fd0	FP_NO_HOST_CHECK	NO
572	svchost.exe	0x3d0fd0	LOCALAPPDATA	C:\Windows\system32\config\systemprofile\AppData\Local
572	svchost.exe	0x3d0fd0	NUMBER_OF_PROCESSORS	1
572	svchost.exe	0x3d0fd0	OS	Windows_NT
572	svchost.exe	0x3d0fd0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
572	svchost.exe	0x3d0fd0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
572	svchost.exe	0x3d0fd0	PROCESSOR_ARCHITECTURE	x86
572	svchost.exe	0x3d0fd0	PROCESSOR_IDENTIFIER	x86 Family 6 Model 58 Stepping 9, GenuineIntel
572	svchost.exe	0x3d0fd0	PROCESSOR_LEVEL	6
572	svchost.exe	0x3d0fd0	PROCESSOR_REVISION	3a09
572	svchost.exe	0x3d0fd0	ProgramData	C:\ProgramData
572	svchost.exe	0x3d0fd0	ProgramFiles	C:\Program Files
572	svchost.exe	0x3d0fd0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
572	svchost.exe	0x3d0fd0	PUBLIC	C:\Users\Public
572	svchost.exe	0x3d0fd0	SystemDrive	C:
572	svchost.exe	0x3d0fd0	SystemRoot	C:\Windows
572	svchost.exe	0x3d0fd0	TEMP	C:\Windows\TEMP
572	svchost.exe	0x3d0fd0	TMP	C:\Windows\TEMP
572	svchost.exe	0x3d0fd0	USERDOMAIN	WORKGROUP
572	svchost.exe	0x3d0fd0	USERNAME	FLAG-PC$
572	svchost.exe	0x3d0fd0	USERPROFILE	C:\Windows\system32\config\systemprofile
572	svchost.exe	0x3d0fd0	windir	C:\Windows
628	VBoxService.ex	0x200fd0	ALLUSERSPROFILE	C:\ProgramData
628	VBoxService.ex	0x200fd0	APPDATA	C:\Windows\system32\config\systemprofile\AppData\Roaming
628	VBoxService.ex	0x200fd0	CommonProgramFiles	C:\Program Files\Common Files
628	VBoxService.ex	0x200fd0	COMPUTERNAME	FLAG-PC
628	VBoxService.ex	0x200fd0	ComSpec	C:\Windows\system32\cmd.exe
628	VBoxService.ex	0x200fd0	FP_NO_HOST_CHECK	NO
628	VBoxService.ex	0x200fd0	LOCALAPPDATA	C:\Windows\system32\config\systemprofile\AppData\Local
628	VBoxService.ex	0x200fd0	NUMBER_OF_PROCESSORS	1
628	VBoxService.ex	0x200fd0	OS	Windows_NT
628	VBoxService.ex	0x200fd0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;
628	VBoxService.ex	0x200fd0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
628	VBoxService.ex	0x200fd0	PROCESSOR_ARCHITECTURE	x86
628	VBoxService.ex	0x200fd0	PROCESSOR_IDENTIFIER	x86 Family 6 Model 58 Stepping 9, GenuineIntel
628	VBoxService.ex	0x200fd0	PROCESSOR_LEVEL	6
628	VBoxService.ex	0x200fd0	PROCESSOR_REVISION	3a09
628	VBoxService.ex	0x200fd0	ProgramData	C:\ProgramData
628	VBoxService.ex	0x200fd0	ProgramFiles	C:\Program Files
628	VBoxService.ex	0x200fd0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
628	VBoxService.ex	0x200fd0	PUBLIC	C:\Users\Public
628	VBoxService.ex	0x200fd0	SystemDrive	C:
628	VBoxService.ex	0x200fd0	SystemRoot	C:\Windows
628	VBoxService.ex	0x200fd0	TEMP	C:\Windows\TEMP
628	VBoxService.ex	0x200fd0	TMP	C:\Windows\TEMP
628	VBoxService.ex	0x200fd0	USERDOMAIN	WORKGROUP
628	VBoxService.ex	0x200fd0	USERNAME	FLAG-PC$
628	VBoxService.ex	0x200fd0	USERPROFILE	C:\Windows\system32\config\systemprofile
628	VBoxService.ex	0x200fd0	windir	C:\Windows
692	svchost.exe	0x1f1050	ALLUSERSPROFILE	C:\ProgramData
692	svchost.exe	0x1f1050	APPDATA	C:\Windows\ServiceProfiles\NetworkService\AppData\Roaming
692	svchost.exe	0x1f1050	CommonProgramFiles	C:\Program Files\Common Files
692	svchost.exe	0x1f1050	COMPUTERNAME	FLAG-PC
692	svchost.exe	0x1f1050	ComSpec	C:\Windows\system32\cmd.exe
692	svchost.exe	0x1f1050	FP_NO_HOST_CHECK	NO
692	svchost.exe	0x1f1050	LOCALAPPDATA	C:\Windows\ServiceProfiles\NetworkService\AppData\Local
692	svchost.exe	0x1f1050	NUMBER_OF_PROCESSORS	1
692	svchost.exe	0x1f1050	OS	Windows_NT
692	svchost.exe	0x1f1050	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
692	svchost.exe	0x1f1050	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
692	svchost.exe	0x1f1050	PROCESSOR_ARCHITECTURE	x86
692	svchost.exe	0x1f1050	PROCESSOR_IDENTIFIER	x86 Family 6 Model 58 Stepping 9, GenuineIntel
692	svchost.exe	0x1f1050	PROCESSOR_LEVEL	6
692	svchost.exe	0x1f1050	PROCESSOR_REVISION	3a09
692	svchost.exe	0x1f1050	ProgramData	C:\ProgramData
692	svchost.exe	0x1f1050	ProgramFiles	C:\Program Files
692	svchost.exe	0x1f1050	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
692	svchost.exe	0x1f1050	PUBLIC	C:\Users\Public
692	svchost.exe	0x1f1050	SystemDrive	C:
692	svchost.exe	0x1f1050	SystemRoot	C:\Windows
692	svchost.exe	0x1f1050	TEMP	C:\Windows\SERVIC~2\NETWOR~1\AppData\Local\Temp
692	svchost.exe	0x1f1050	TMP	C:\Windows\SERVIC~2\NETWOR~1\AppData\Local\Temp
692	svchost.exe	0x1f1050	USERDOMAIN	WORKGROUP
692	svchost.exe	0x1f1050	USERNAME	FLAG-PC$
692	svchost.exe	0x1f1050	USERPROFILE	C:\Windows\ServiceProfiles\NetworkService
692	svchost.exe	0x1f1050	windir	C:\Windows
780	svchost.exe	0x131058	ALLUSERSPROFILE	C:\ProgramData
780	svchost.exe	0x131058	APPDATA	C:\Windows\ServiceProfiles\LocalService\AppData\Roaming
780	svchost.exe	0x131058	CommonProgramFiles	C:\Program Files\Common Files
780	svchost.exe	0x131058	COMPUTERNAME	FLAG-PC
780	svchost.exe	0x131058	ComSpec	C:\Windows\system32\cmd.exe
780	svchost.exe	0x131058	FP_NO_HOST_CHECK	NO
780	svchost.exe	0x131058	LOCALAPPDATA	C:\Windows\ServiceProfiles\LocalService\AppData\Local
780	svchost.exe	0x131058	NUMBER_OF_PROCESSORS	1
780	svchost.exe	0x131058	OS	Windows_NT
780	svchost.exe	0x131058	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
780	svchost.exe	0x131058	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
780	svchost.exe	0x131058	PROCESSOR_ARCHITECTURE	x86
780	svchost.exe	0x131058	PROCESSOR_IDENTIFIER	x86 Family 6 Model 58 Stepping 9, GenuineIntel
780	svchost.exe	0x131058	PROCESSOR_LEVEL	6
780	svchost.exe	0x131058	PROCESSOR_REVISION	3a09
780	svchost.exe	0x131058	ProgramData	C:\ProgramData
780	svchost.exe	0x131058	ProgramFiles	C:\Program Files
780	svchost.exe	0x131058	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
780	svchost.exe	0x131058	PUBLIC	C:\Users\Public
780	svchost.exe	0x131058	SystemDrive	C:
780	svchost.exe	0x131058	SystemRoot	C:\Windows
780	svchost.exe	0x131058	TEMP	C:\Windows\SERVIC~2\LOCALS~1\AppData\Local\Temp
780	svchost.exe	0x131058	TMP	C:\Windows\SERVIC~2\LOCALS~1\AppData\Local\Temp
780	svchost.exe	0x131058	USERDOMAIN	NT AUTHORITY
780	svchost.exe	0x131058	USERNAME	LOCAL SERVICE
780	svchost.exe	0x131058	USERPROFILE	C:\Windows\ServiceProfiles\LocalService
780	svchost.exe	0x131058	windir	C:\Windows
816	svchost.exe	0xf0fd0	ALLUSERSPROFILE	C:\ProgramData
816	svchost.exe	0xf0fd0	APPDATA	C:\Windows\system32\config\systemprofile\AppData\Roaming
816	svchost.exe	0xf0fd0	CommonProgramFiles	C:\Program Files\Common Files
816	svchost.exe	0xf0fd0	COMPUTERNAME	FLAG-PC
816	svchost.exe	0xf0fd0	ComSpec	C:\Windows\system32\cmd.exe
816	svchost.exe	0xf0fd0	FP_NO_HOST_CHECK	NO
816	svchost.exe	0xf0fd0	LOCALAPPDATA	C:\Windows\system32\config\systemprofile\AppData\Local
816	svchost.exe	0xf0fd0	NUMBER_OF_PROCESSORS	1
816	svchost.exe	0xf0fd0	OS	Windows_NT
816	svchost.exe	0xf0fd0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
816	svchost.exe	0xf0fd0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
816	svchost.exe	0xf0fd0	PROCESSOR_ARCHITECTURE	x86
816	svchost.exe	0xf0fd0	PROCESSOR_IDENTIFIER	x86 Family 6 Model 58 Stepping 9, GenuineIntel
816	svchost.exe	0xf0fd0	PROCESSOR_LEVEL	6
816	svchost.exe	0xf0fd0	PROCESSOR_REVISION	3a09
816	svchost.exe	0xf0fd0	ProgramData	C:\ProgramData
816	svchost.exe	0xf0fd0	ProgramFiles	C:\Program Files
816	svchost.exe	0xf0fd0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
816	svchost.exe	0xf0fd0	PUBLIC	C:\Users\Public
816	svchost.exe	0xf0fd0	SystemDrive	C:
816	svchost.exe	0xf0fd0	SystemRoot	C:\Windows
816	svchost.exe	0xf0fd0	TEMP	C:\Windows\TEMP
816	svchost.exe	0xf0fd0	TMP	C:\Windows\TEMP
816	svchost.exe	0xf0fd0	USERDOMAIN	WORKGROUP
816	svchost.exe	0xf0fd0	USERNAME	FLAG-PC$
816	svchost.exe	0xf0fd0	USERPROFILE	C:\Windows\system32\config\systemprofile
816	svchost.exe	0xf0fd0	windir	C:\Windows
844	svchost.exe	0xa0fd0	ALLUSERSPROFILE	C:\ProgramData
844	svchost.exe	0xa0fd0	APPDATA	C:\Windows\system32\config\systemprofile\AppData\Roaming
844	svchost.exe	0xa0fd0	CommonProgramFiles	C:\Program Files\Common Files
844	svchost.exe	0xa0fd0	COMPUTERNAME	FLAG-PC
844	svchost.exe	0xa0fd0	ComSpec	C:\Windows\system32\cmd.exe
844	svchost.exe	0xa0fd0	FP_NO_HOST_CHECK	NO
844	svchost.exe	0xa0fd0	LOCALAPPDATA	C:\Windows\system32\config\systemprofile\AppData\Local
844	svchost.exe	0xa0fd0	NUMBER_OF_PROCESSORS	1
844	svchost.exe	0xa0fd0	OS	Windows_NT
844	svchost.exe	0xa0fd0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
844	svchost.exe	0xa0fd0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
844	svchost.exe	0xa0fd0	PROCESSOR_ARCHITECTURE	x86
844	svchost.exe	0xa0fd0	PROCESSOR_IDENTIFIER	x86 Family 6 Model 58 Stepping 9, GenuineIntel
844	svchost.exe	0xa0fd0	PROCESSOR_LEVEL	6
844	svchost.exe	0xa0fd0	PROCESSOR_REVISION	3a09
844	svchost.exe	0xa0fd0	ProgramData	C:\ProgramData
844	svchost.exe	0xa0fd0	ProgramFiles	C:\Program Files
844	svchost.exe	0xa0fd0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
844	svchost.exe	0xa0fd0	PUBLIC	C:\Users\Public
844	svchost.exe	0xa0fd0	SystemDrive	C:
844	svchost.exe	0xa0fd0	SystemRoot	C:\Windows
844	svchost.exe	0xa0fd0	TEMP	C:\Windows\TEMP
844	svchost.exe	0xa0fd0	TMP	C:\Windows\TEMP
844	svchost.exe	0xa0fd0	USERDOMAIN	WORKGROUP
844	svchost.exe	0xa0fd0	USERNAME	FLAG-PC$
844	svchost.exe	0xa0fd0	USERPROFILE	C:\Windows\system32\config\systemprofile
844	svchost.exe	0xa0fd0	windir	C:\Windows
1008	svchost.exe	0x201058	ALLUSERSPROFILE	C:\ProgramData
1008	svchost.exe	0x201058	APPDATA	C:\Windows\ServiceProfiles\LocalService\AppData\Roaming
1008	svchost.exe	0x201058	CommonProgramFiles	C:\Program Files\Common Files
1008	svchost.exe	0x201058	COMPUTERNAME	FLAG-PC
1008	svchost.exe	0x201058	ComSpec	C:\Windows\system32\cmd.exe
1008	svchost.exe	0x201058	FP_NO_HOST_CHECK	NO
1008	svchost.exe	0x201058	LOCALAPPDATA	C:\Windows\ServiceProfiles\LocalService\AppData\Local
1008	svchost.exe	0x201058	NUMBER_OF_PROCESSORS	1
1008	svchost.exe	0x201058	OS	Windows_NT
1008	svchost.exe	0x201058	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
1008	svchost.exe	0x201058	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
1008	svchost.exe	0x201058	PROCESSOR_ARCHITECTURE	x86
1008	svchost.exe	0x201058	PROCESSOR_IDENTIFIER	x86 Family 6 Model 58 Stepping 9, GenuineIntel
1008	svchost.exe	0x201058	PROCESSOR_LEVEL	6
1008	svchost.exe	0x201058	PROCESSOR_REVISION	3a09
1008	svchost.exe	0x201058	ProgramData	C:\ProgramData
1008	svchost.exe	0x201058	ProgramFiles	C:\Program Files
1008	svchost.exe	0x201058	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
1008	svchost.exe	0x201058	PUBLIC	C:\Users\Public
1008	svchost.exe	0x201058	SystemDrive	C:
1008	svchost.exe	0x201058	SystemRoot	C:\Windows
1008	svchost.exe	0x201058	TEMP	C:\Windows\SERVIC~2\LOCALS~1\AppData\Local\Temp
1008	svchost.exe	0x201058	TMP	C:\Windows\SERVIC~2\LOCALS~1\AppData\Local\Temp
1008	svchost.exe	0x201058	USERDOMAIN	NT AUTHORITY
1008	svchost.exe	0x201058	USERNAME	LOCAL SERVICE
1008	svchost.exe	0x201058	USERPROFILE	C:\Windows\ServiceProfiles\LocalService
1008	svchost.exe	0x201058	windir	C:\Windows
1096	svchost.exe	0x181050	ALLUSERSPROFILE	C:\ProgramData
1096	svchost.exe	0x181050	APPDATA	C:\Windows\ServiceProfiles\NetworkService\AppData\Roaming
1096	svchost.exe	0x181050	CommonProgramFiles	C:\Program Files\Common Files
1096	svchost.exe	0x181050	COMPUTERNAME	FLAG-PC
1096	svchost.exe	0x181050	ComSpec	C:\Windows\system32\cmd.exe
1096	svchost.exe	0x181050	FP_NO_HOST_CHECK	NO
1096	svchost.exe	0x181050	LOCALAPPDATA	C:\Windows\ServiceProfiles\NetworkService\AppData\Local
1096	svchost.exe	0x181050	NUMBER_OF_PROCESSORS	1
1096	svchost.exe	0x181050	OS	Windows_NT
1096	svchost.exe	0x181050	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
1096	svchost.exe	0x181050	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
1096	svchost.exe	0x181050	PROCESSOR_ARCHITECTURE	x86
1096	svchost.exe	0x181050	PROCESSOR_IDENTIFIER	x86 Family 6 Model 58 Stepping 9, GenuineIntel
1096	svchost.exe	0x181050	PROCESSOR_LEVEL	6
1096	svchost.exe	0x181050	PROCESSOR_REVISION	3a09
1096	svchost.exe	0x181050	ProgramData	C:\ProgramData
1096	svchost.exe	0x181050	ProgramFiles	C:\Program Files
1096	svchost.exe	0x181050	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
1096	svchost.exe	0x181050	PUBLIC	C:\Users\Public
1096	svchost.exe	0x181050	SystemDrive	C:
1096	svchost.exe	0x181050	SystemRoot	C:\Windows
1096	svchost.exe	0x181050	TEMP	C:\Windows\SERVIC~2\NETWOR~1\AppData\Local\Temp
1096	svchost.exe	0x181050	TMP	C:\Windows\SERVIC~2\NETWOR~1\AppData\Local\Temp
